Product Group,Client,Region,Purchase,Total Market,ProductGroup&Region
Plumbing,68,AMERICAS,9214,992776,Plumbing_AMERICAS_
Plumbing,403,AMERICAS,3502,992776,Plumbing_AMERICAS_
Plumbing,668,AMERICAS,5789,992776,Plumbing_AMERICAS_
Plumbing,796,AMERICAS,8468,992776,Plumbing_AMERICAS_
Plumbing,68,AMERICAS,5346,992776,Plumbing_AMERICAS_
Plumbing,889,AMERICAS,9842,992776,Plumbing_AMERICAS_
Plumbing,736,AMERICAS,6212,992776,Plumbing_AMERICAS_
Plumbing,552,AMERICAS,9459,992776,Plumbing_AMERICAS_
Plumbing,997,AMERICAS,2525,992776,Plumbing_AMERICAS_
Plumbing,1073,AMERICAS,8814,992776,Plumbing_AMERICAS_
Plumbing,1,AMERICAS,6168,992776,Plumbing_AMERICAS_
Plumbing,323,AMERICAS,5678,992776,Plumbing_AMERICAS_
Plumbing,199,AMERICAS,9322,992776,Plumbing_AMERICAS_
